Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pastikan User dapat mengakses Pijar Camp Responsive Mobile,Chrome 94.0.4606.81,,,2021-10-28 08:28:39,2021-10-28 08:30:15,1m - 36.320s,PASSED
,,,,,,,
Test Cases/User/Pijar Camp/Mobile Responsive/Pastikan User dapat mengakses Pijar Camp Sebelum Login Mobile Responsive,Chrome 94.0.4606.81,,,2021-10-28 08:28:40,2021-10-28 08:29:25,45.473s,PASSED
"callTestCase(findTestCase(""CustomKeyword/Oper Browser Mobile""), [:], STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-28 08:28:40,2021-10-28 08:28:44,3.484s,PASSED
"callTestCase(findTestCase(""CustomKeyword/Negative to URL""), [:], STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-28 08:28:44,2021-10-28 08:28:47,3.316s,PASSED
"click(findTestObject(""Login/button__z-2 absolute right-0 top-0 bg-white w-10 h-10 flex rounded-full justify-center items-center border-black-300 border-2.5""))",Chrome 94.0.4606.81,,,2021-10-28 08:28:47,2021-10-28 08:28:48,0.723s,PASSED
"focus(findTestObject(""Pijar Camp/Top Pijar Camp/button_Pijar Camp""))",Chrome 94.0.4606.81,,,2021-10-28 08:28:48,2021-10-28 08:28:49,0.869s,PASSED
"click(findTestObject(""Pijar Camp/Top Pijar Camp/button_Kunjungi Pijar Camp""))",Chrome 94.0.4606.81,,,2021-10-28 08:28:49,2021-10-28 08:28:52,3.088s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/h3_Mulai Karir  Teknologi Bersama  Pijar Camp""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:28:52,2021-10-28 08:28:53,0.764s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:28:53,2021-10-28 08:28:58,5.014s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TENTANG PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:28:58,2021-10-28 08:28:58,0.375s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:28:58,2021-10-28 08:29:03,5.005s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_KEUNTUNGAN GABUNG PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:29:03,2021-10-28 08:29:03,0.460s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:29:03,2021-10-28 08:29:08,5.005s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TENTANG PROGRAM PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:29:08,2021-10-28 08:29:09,0.449s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:29:09,2021-10-28 08:29:14,5.009s,PASSED
