Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pastikan User dapat mengakses Pijar Camp,Chrome 94.0.4606.81,,,2021-10-28 08:03:10,2021-10-28 08:04:46,1m - 35.959s,PASSED
,,,,,,,
Test Cases/User/Pijar Camp/Desktop/Pastikan User dapat mengakses Pijar Camp Sebelum Login,Chrome 94.0.4606.81,,,2021-10-28 08:03:10,2021-10-28 08:03:54,43.118s,PASSED
"callTestCase(findTestCase(""CustomKeyword/Open Browser""), [:], STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-28 08:03:11,2021-10-28 08:03:14,3.303s,PASSED
"callTestCase(findTestCase(""CustomKeyword/Negative to URL""), [:], STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-28 08:03:14,2021-10-28 08:03:17,2.989s,PASSED
"click(findTestObject(""Login/button__z-2 absolute right-0 top-0 bg-white w-10 h-10 flex rounded-full justify-center items-center border-black-300 border-2.5""))",Chrome 94.0.4606.81,,,2021-10-28 08:03:17,2021-10-28 08:03:18,0.841s,PASSED
"focus(findTestObject(""Pijar Camp/Top Pijar Camp/button_Pijar Camp""))",Chrome 94.0.4606.81,,,2021-10-28 08:03:18,2021-10-28 08:03:19,0.916s,PASSED
"click(findTestObject(""Pijar Camp/Top Pijar Camp/button_Kunjungi Pijar Camp""))",Chrome 94.0.4606.81,,,2021-10-28 08:03:19,2021-10-28 08:03:21,2.116s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/h3_Mulai Karir  Teknologi Bersama  Pijar Camp""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:03:21,2021-10-28 08:03:22,0.384s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:03:22,2021-10-28 08:03:27,5.014s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TENTANG PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:03:27,2021-10-28 08:03:27,0.320s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:03:27,2021-10-28 08:03:32,5.004s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_KEUNTUNGAN GABUNG PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:03:32,2021-10-28 08:03:32,0.355s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:03:32,2021-10-28 08:03:37,5.004s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TENTANG PROGRAM PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:03:37,2021-10-28 08:03:38,0.318s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:03:38,2021-10-28 08:03:43,5.009s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TESTIMONI ALUMNI""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:03:43,2021-10-28 08:03:43,0.326s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:03:43,2021-10-28 08:03:48,5.004s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_KISAH SUKSES""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:03:48,2021-10-28 08:03:48,0.330s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:03:48,2021-10-28 08:03:53,5.005s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_Mulai Karirmu Bersama Pijar Camp""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:03:53,2021-10-28 08:03:54,0.335s,PASSED
,,,,,,,
Test Cases/User/Login/Positive Case/Pastikan User dapat melakukan Login,Chrome 94.0.4606.81,,,2021-10-28 08:03:54,2021-10-28 08:04:02,8.520s,PASSED
"callTestCase(findTestCase(""CustomKeyword/Open Browser""), [:], STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-28 08:03:54,2021-10-28 08:03:55,1.526s,PASSED
"callTestCase(findTestCase(""CustomKeyword/Negative to URL""), [:], STOP_ON_FAILURE)",Chrome 94.0.4606.81,,,2021-10-28 08:03:55,2021-10-28 08:03:58,3.050s,PASSED
"click(findTestObject(""Login/button__z-2 absolute right-0 top-0 bg-white w-10 h-10 flex rounded-full justify-center items-center border-black-300 border-2.5""))",Chrome 94.0.4606.81,,,2021-10-28 08:03:58,2021-10-28 08:03:59,0.469s,PASSED
"click(findTestObject(""Login/Page_Pijar Mahir/button_Masuk""))",Chrome 94.0.4606.81,,,2021-10-28 08:03:59,2021-10-28 08:04:00,0.880s,PASSED
"setText(findTestObject(""Login/input_Email_email""), username)",Chrome 94.0.4606.81,,,2021-10-28 08:04:00,2021-10-28 08:04:01,1.163s,PASSED
"setText(findTestObject(""Login/input_Password_password""), password)",Chrome 94.0.4606.81,,,2021-10-28 08:04:01,2021-10-28 08:04:02,0.687s,PASSED
"click(findTestObject(""Login/button_Masuk""))",Chrome 94.0.4606.81,,,2021-10-28 08:04:02,2021-10-28 08:04:02,0.426s,PASSED
,,,,,,,
Test Cases/User/Pijar Camp/Desktop/Pastikan User dapat mengakses Pijar Camp Sesudah Login,Chrome 94.0.4606.81,,,2021-10-28 08:04:02,2021-10-28 08:04:46,43.846s,PASSED
"focus(findTestObject(""Pijar Camp/Top Pijar Camp Login/Page_Pijar Mahir/button_Pijar Camp""))",Chrome 94.0.4606.81,,,2021-10-28 08:04:03,2021-10-28 08:04:05,2.869s,PASSED
"click(findTestObject(""Pijar Camp/Top Pijar Camp Login/Page_Pijar Mahir/button_Kunjungi Pijar Camp""))",Chrome 94.0.4606.81,,,2021-10-28 08:04:05,2021-10-28 08:04:08,2.641s,PASSED
"click(findTestObject(""Pijar Camp/Page_Pijar Camp/button_Pelajari Bootcamp""))",Chrome 94.0.4606.81,,,2021-10-28 08:04:08,2021-10-28 08:04:09,0.607s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:04:09,2021-10-28 08:04:14,5.003s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/h3_Mulai Karir  Teknologi Bersama  Pijar Camp""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:04:14,2021-10-28 08:04:14,0.294s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:04:14,2021-10-28 08:04:19,5.004s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TENTANG PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:04:19,2021-10-28 08:04:19,0.303s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:04:19,2021-10-28 08:04:24,5.005s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_KEUNTUNGAN GABUNG PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:04:24,2021-10-28 08:04:25,0.314s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:04:25,2021-10-28 08:04:30,5.003s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TENTANG PROGRAM PIJAR CAMP""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:04:30,2021-10-28 08:04:30,0.341s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:04:30,2021-10-28 08:04:35,5.003s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_TESTIMONI ALUMNI""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:04:35,2021-10-28 08:04:35,0.315s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:04:35,2021-10-28 08:04:40,5.005s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_KISAH SUKSES""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:04:40,2021-10-28 08:04:41,0.313s,PASSED
delay(5),Chrome 94.0.4606.81,,,2021-10-28 08:04:41,2021-10-28 08:04:46,5.005s,PASSED
"scrollToElement(findTestObject(""Pijar Camp/Page_Pijar Camp/p_Mulai Karirmu Bersama Pijar Camp""), 10)",Chrome 94.0.4606.81,,,2021-10-28 08:04:46,2021-10-28 08:04:46,0.332s,PASSED
